Target,Model,Accuracy,Precision_Macro,Recall_Macro,F1_Macro,Precision_Weighted,Recall_Weighted,F1_Weighted,Training_Time_Seconds
condition,Logistic Regression,0.96,0.9607692307692308,0.96,0.9601920768307324,0.9607692307692308,0.96,0.9601920768307324,0.165
condition,CatBoost,0.93,0.9325828157349896,0.9299999999999999,0.9300715569246566,0.9325828157349896,0.93,0.9300715569246566,2.218
condition,Extra Trees,0.93,0.932129917184265,0.9299999999999999,0.929858971890643,0.9321299171842651,0.93,0.929858971890643,1.204
condition,Random Forest,0.91,0.9108796296296297,0.91,0.9099293563579278,0.9108796296296297,0.91,0.9099293563579277,1.698
condition,LightGBM,0.9,0.9000259000259001,0.9,0.8987717018067456,0.9000259000259001,0.9,0.8987717018067456,20.951
condition,Gradient Boosting,0.89,0.89,0.89,0.89,0.89,0.89,0.89,1.953
condition,Decision Tree,0.79,0.787175697865353,0.79,0.7864895330112721,0.787175697865353,0.79,0.7864895330112722,0.101
severity,Logistic Regression,0.92,0.8680555555555557,0.7977053140096618,0.8244089834515367,0.9170833333333335,0.92,0.9168510638297872,0.138
severity,LightGBM,0.92,0.7863888888888889,0.7007850241545893,0.7152777777777777,0.9047999999999999,0.92,0.9066666666666666,0.668
severity,CatBoost,0.92,0.9463945578231292,0.7007850241545893,0.7238177057764686,0.9252081632653061,0.92,0.9039641629847814,1.263
severity,Gradient Boosting,0.87,0.7532332081768877,0.6654589371980676,0.6807650569723277,0.8581852315394244,0.87,0.8579820944112859,0.94
severity,Extra Trees,0.87,0.5887392900856793,0.6177536231884058,0.5989544436146378,0.8319951040391678,0.87,0.8450186706497385,1.076
severity,Random Forest,0.87,0.5851851851851851,0.6174516908212561,0.5986727705028567,0.8266666666666667,0.87,0.8446630469498563,1.692
severity,Decision Tree,0.84,0.6488179669030733,0.6437198067632851,0.6457315086347345,0.8337021276595745,0.84,0.8367155425219943,0.059
treatment,Logistic Regression,0.97,0.9703525641025642,0.97,0.9699879951980793,0.9703525641025641,0.97,0.9699879951980793,0.081
treatment,Extra Trees,0.95,0.9522222222222222,0.95,0.9503525641025641,0.9522222222222223,0.95,0.9503525641025642,1.049
treatment,LightGBM,0.91,0.9096989966555183,0.91,0.9093137254901961,0.9096989966555183,0.91,0.9093137254901962,0.96
treatment,CatBoost,0.9,0.900462962962963,0.8999999999999999,0.8997252747252747,0.900462962962963,0.9,0.8997252747252747,1.123
treatment,Gradient Boosting,0.89,0.8900462962962963,0.89,0.8895211930926217,0.8900462962962963,0.89,0.8895211930926216,1.272
treatment,Random Forest,0.88,0.8811512561512562,0.88,0.8793523956227336,0.8811512561512561,0.88,0.8793523956227335,1.561
treatment,Decision Tree,0.84,0.8439592017178223,0.84,0.8392666245242058,0.8439592017178225,0.84,0.8392666245242058,0.072
